man,ABCA10,ABCC9,ADAM6,AHNAK,ANKRD30A,APOB,ARID1A,BIRC6,CD163,CD163L1,CDK12,CIT,CNTNAP2,COL22A1,COL5A1,COL6A6,CREBBP,CSMD3,CUBN,CUL9,DCC,DCHS1,DNAH11,DNAH3,DNAH5,DNAH8,DOT1L,DYNC1H1,EIF4G2,EPHA7,FAT3,FAT4,FBXW7,FGA,FLG,FLG2,FRG1B,GOLGB1,GPR98,HMCN1,HRNR,INSR,KALRN,KDM6A,KIAA1109,KNTC1,LAMA3,LOC96610,LRP2,LRRK2,MACF1,MALAT1,MAP2,MERTK,MLL,MLL2,MLL3,MST1P2,MUC16,MUC17,MYH1,NBEA,NEB,NES,NF1,PCDHAC2,PCDHGC5,PKHD1L1,PRX,RAI1,RPGRIP1,RYR1,RYR2,RYR3,SACS,SETD2,SYNE1,SYNE2,TNXB,TP53,TPR,TTN,UGT1A1,URB2,USH2A,Unknown,VCAN,VPS13B,XIRP2,ZFHX4,ZFYVE26,type
BRCA2_TCGA-BT-A20J-01A-11D-A14W-08,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,3,0,0,1,2,1,0,0,0,0,BRCA
BRCA2_TCGA-C4-A0EZ-01A-21D-A10S-08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,BRCA
BRCA2_TCGA-CF-A1HS-01A-11D-A13W-08,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,2,0,3,0,0,1,2,0,0,0,0,0,BRCA
BRCA2_TCGA-C4-A0F7-01A-11D-A10S-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,BRCA
BRCA2_TCGA-BT-A20T-01A-11D-A14W-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,BRCA
BRCA2_TCGA-C4-A0F6-01A-11D-A10S-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,BRCA
BRCA2_TCGA-DK-A1AB-01A-11D-A13W-08,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,4,0,3,0,4,0,0,0,1,0,BRCA
BRCA2_TCGA-BT-A20P-01A-11D-A14W-08,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,BRCA
BRCA2_TCGA-DK-A1A5-01A-11D-A13W-08,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,3,0,0,0,0,0,BRCA
BRCA2_TCGA-BT-A20O-01A-21D-A14W-08,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,BRCA
BRCA2_TCGA-BT-A0YX-01A-11D-A10S-08,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,0,0,1,0,2,1,1,0,0,2,0,0,0,0,0,1,1,1,10,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,1,3,0,0,0,5,0,0,1,0,0,BRCA
BRCA2_TCGA-CU-A0YN-01A-21D-A10S-08,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,BRCA
BRCA2_TCGA-BT-A20N-01A-11D-A14W-08,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,2,1,0,0,0,0,0,1,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,5,0,0,2,0,0,BRCA
BRCA2_TCGA-DK-A1A3-01A-11D-A13W-08,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,6,1,1,0,0,1,1,0,0,0,0,0,0,3,6,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,1,0,0,0,2,0,4,0,3,0,4,0,0,2,1,0,BRCA
BRCA2_TCGA-BL-A0C8-01A-11D-A10S-08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,BRCA
BRCA2_TCGA-CF-A1HR-01A-11D-A13W-08,0,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,2,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,BRCA
BRCA2_TCGA-BT-A0S7-01A-11D-A10S-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,BRCA
BRCA2_TCGA-C4-A0F0-01A-12D-A10S-08,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,BRCA
BRCA2_TCGA-DK-A1A7-01A-11D-A13W-08,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0,1,0,BRCA
