Extract Name	Comment [TCGA Barcode]	Comment [is tumor]	Material Type	Annotation REF	Comment [TCGA Genome Reference]	Protocol REF	Parameter Value [Vendor]	Parameter Value [Catalog Name]	Parameter Value [Catalog Number]	Parameter Value [Annotation URL]	Parameter Value [Product URL]	Parameter Value [Target File URL]	Parameter Value [Target File Format]	Parameter Value [Target File Format Version]	Parameter Value [Probe File URL]	Parameter Value [Probe File Format]	Parameter Value [Probe File Format Version]	Parameter Value [Target Reference Accession]	Protocol REF	Protocol REF	Comment [Derived Data File REF]	Comment [TCGA CGHub ID]	Comment [TCGA CGHub metadata URL]	Comment [TCGA Include for Analysis]	Derived Data File	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]	Parameter Value [Protocol Min Base Quality]	Parameter Value [Protocol Min Map Quality]	Parameter Value [Protocol Min Tumor Coverage]	Parameter Value [Protocol Min Normal Coverage]	Protocol REF	Derived Data File	Comment [TCGA Spec Version]	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]	Protocol REF	Derived Data File	Comment [TCGA Spec Version]	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]	Protocol REF	Derived Data File	Comment [TCGA Spec Version]	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]
710e318b-bf41-47c3-8094-08ea43433a91	TCGA-UY-A78L-10A-01D-A339-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-UY-A78L-10A-01D-A339-08.bam	->	->	yes	->	->	->	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-UY-A78L_b21c2b7d-c283-401e-abc1-17bc78aa36f3_710e318b-bf41-47c3-8094-08ea43433a91.indel.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_BLCA_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
710e318b-bf41-47c3-8094-08ea43433a91	TCGA-UY-A78L-10A-01D-A339-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-UY-A78L-10A-01D-A339-08.bam	->	->	yes	->	->	->	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-UY-A78L_b21c2b7d-c283-401e-abc1-17bc78aa36f3_710e318b-bf41-47c3-8094-08ea43433a91.oxoG.snp.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_BLCA_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
7ef6d222-c947-4e04-a965-80a6abb68393	TCGA-ZF-A9R4-10A-01D-A38J-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-ZF-A9R4-10A-01D-A38J-08.bam	->	->	yes	->	->	->	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-ZF-A9R4_7cebd9d9-bbac-4dee-86e2-d4eeb8c25ade_7ef6d222-c947-4e04-a965-80a6abb68393.indel.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_BLCA_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
7ef6d222-c947-4e04-a965-80a6abb68393	TCGA-ZF-A9R4-10A-01D-A38J-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-ZF-A9R4-10A-01D-A38J-08.bam	->	->	yes	->	->	->	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-ZF-A9R4_7cebd9d9-bbac-4dee-86e2-d4eeb8c25ade_7ef6d222-c947-4e04-a965-80a6abb68393.oxoG.snp.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_BLCA_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
709c4655-20e7-46e3-b4c1-920c180abd6f	TCGA-DK-A1AG-10A-01D-A13W-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-DK-A1AG-10A-01D-A13W-08.bam	5fcdd01a-1262-4365-95e7-6aee6ee0d744	https://cghub.ucsc.edu/cghub/metadata/analysisAttributes/5fcdd01a-1262-4365-95e7-6aee6ee0d744	yes	->	->	->	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-DK-A1AG_7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c_709c4655-20e7-46e3-b4c1-920c180abd6f.indel.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_BLCA_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
709c4655-20e7-46e3-b4c1-920c180abd6f	TCGA-DK-A1AG-10A-01D-A13W-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-DK-A1AG-10A-01D-A13W-08.bam	5fcdd01a-1262-4365-95e7-6aee6ee0d744	https://cghub.ucsc.edu/cghub/metadata/analysisAttributes/5fcdd01a-1262-4365-95e7-6aee6ee0d744	yes	->	->	->	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-DK-A1AG_7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c_709c4655-20e7-46e3-b4c1-920c180abd6f.oxoG.snp.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_BLCA_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
709c4655-20e7-46e3-b4c1-920c180abd6f	TCGA-DK-A1AG-10A-01D-A13W-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-DK-A1AG-10A-01D-A13W-08.bam	87d8b6c6-5d12-48cd-8693-86354997f2fc	https://cghub.ucsc.edu/cghub/metadata/analysisAttributes/87d8b6c6-5d12-48cd-8693-86354997f2fc	yes	->	->	->	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	->	1.2	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	2.4	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
8a3f83f8-3492-4cc4-9aec-96de9244d424	TCGA-G2-AA3C-10A-01D-A394-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-G2-AA3C-10A-01D-A394-08.bam	->	->	yes	->	->	->	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-G2-AA3C_47962bdc-bec8-4b02-9a16-4d15d8d7eda2_8a3f83f8-3492-4cc4-9aec-96de9244d424.indel.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_BLCA_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
8a3f83f8-3492-4cc4-9aec-96de9244d424	TCGA-G2-AA3C-10A-01D-A394-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-G2-AA3C-10A-01D-A394-08.bam	->	->	yes	->	->	->	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-G2-AA3C_47962bdc-bec8-4b02-9a16-4d15d8d7eda2_8a3f83f8-3492-4cc4-9aec-96de9244d424.oxoG.snp.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_BLCA_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
b9412329-1c4c-4ab1-8627-4f285ff25296	TCGA-XF-A9T8-10A-01D-A394-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-XF-A9T8-10A-01D-A394-08.bam	->	->	yes	->	->	->	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-XF-A9T8_a9e3e375-d384-4f3b-864a-587165d27fbf_b9412329-1c4c-4ab1-8627-4f285ff25296.indel.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_BLCA_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_BLCA.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
