Extract Name	Comment [TCGA Barcode]	Comment [is tumor]	Material Type	Annotation REF	Comment [TCGA Genome Reference]	Protocol REF	Parameter Value [Vendor]	Parameter Value [Catalog Name]	Parameter Value [Catalog Number]	Protocol REF	Comment [Derived Data File REF]	Comment [TCGA CGHub ID]	Comment [TCGA Include for Analysis]	Protocol REF	Derived Data File	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]	Protocol REF	Derived Data File	Comment [TCGA Spec Version]	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]
264520a6-75e4-4059-8151-8fd7eb8d3f34	TCGA-2F-A9KO-01A-11D-A38G-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-2F-A9KO-01A-11D-A38G-08.2.bam	b14df084-7ef2-4690-a32d-c546d75a96d6	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-2F-A9KO.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
264520a6-75e4-4059-8151-8fd7eb8d3f34	TCGA-2F-A9KO-01A-11D-A38G-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-2F-A9KO-01A-11D-A38G-08.2.bam	b14df084-7ef2-4690-a32d-c546d75a96d6	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-2F-A9KO.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
7df8db50-dc99-4352-adcc-2312939c1867	TCGA-2F-A9KP-01A-11D-A38G-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-2F-A9KP-01A-11D-A38G-08.2.bam	2ff22933-db2e-4435-b4ed-ab50500d95d5	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-2F-A9KP.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
7df8db50-dc99-4352-adcc-2312939c1867	TCGA-2F-A9KP-01A-11D-A38G-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-2F-A9KP-01A-11D-A38G-08.2.bam	2ff22933-db2e-4435-b4ed-ab50500d95d5	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-2F-A9KP.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
ca900907-6e1a-4cc4-8ca3-ccd4162db542	TCGA-2F-A9KQ-01A-11D-A38G-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-2F-A9KQ-01A-11D-A38G-08.2.bam	485ab060-39c6-4cc3-b30a-69ea10fabd45	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-2F-A9KQ.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
ca900907-6e1a-4cc4-8ca3-ccd4162db542	TCGA-2F-A9KQ-01A-11D-A38G-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-2F-A9KQ-01A-11D-A38G-08.2.bam	485ab060-39c6-4cc3-b30a-69ea10fabd45	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-2F-A9KQ.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
680ee6c2-0510-4ff5-80b1-1f14c38cba06	TCGA-2F-A9KR-01A-11D-A38G-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-2F-A9KR-01A-11D-A38G-08.2.bam	8122ac1a-cbdc-4a94-ab19-2747a4bb2fc8	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-2F-A9KR.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
680ee6c2-0510-4ff5-80b1-1f14c38cba06	TCGA-2F-A9KR-01A-11D-A38G-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-2F-A9KR-01A-11D-A38G-08.2.bam	8122ac1a-cbdc-4a94-ab19-2747a4bb2fc8	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-2F-A9KR.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
8a4d3f88-7b08-46cb-a542-b7d3bd68bf09	TCGA-2F-A9KT-01A-11D-A38G-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-2F-A9KT-01A-11D-A38G-08.2.bam	47e5a43e-9616-48fe-9d02-9adab3e72fa5	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-2F-A9KT.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
8a4d3f88-7b08-46cb-a542-b7d3bd68bf09	TCGA-2F-A9KT-01A-11D-A38G-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-2F-A9KT-01A-11D-A38G-08.2.bam	47e5a43e-9616-48fe-9d02-9adab3e72fa5	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-2F-A9KT.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
