Extract Name	Comment [TCGA Barcode]	Comment [is tumor]	Material Type	Annotation REF	Comment [TCGA Genome Reference]	Protocol REF	Parameter Value [Vendor]	Parameter Value [Catalog Name]	Parameter Value [Catalog Number]	Parameter Value [Annotation URL]	Parameter Value [Product URL]	Parameter Value [Target File URL]	Parameter Value [Target File Format]	Parameter Value [Target File Format Version]	Parameter Value [Probe File URL]	Parameter Value [Probe File Format]	Parameter Value [Probe File Format Version]	Parameter Value [Target Reference Accession]	Protocol REF	Protocol REF	Comment [Derived Data File REF]	Comment [TCGA CGHub ID]	Comment [TCGA CGHub metadata URL]	Comment [TCGA Include for Analysis]	Derived Data File	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]	Parameter Value [Protocol Min Base Quality]	Parameter Value [Protocol Min Map Quality]	Parameter Value [Protocol Min Tumor Coverage]	Parameter Value [Protocol Min Normal Coverage]	Protocol REF	Derived Data File	Comment [TCGA Spec Version]	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]	Protocol REF	Derived Data File	Comment [TCGA Spec Version]	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]	Protocol REF	Derived Data File	Comment [TCGA Spec Version]	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]
a72932e7-2901-4401-8f43-07c9a529e422	TCGA-EJ-7794-10A-01D-2115-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-EJ-7794-10A-01D-2115-08.bam	83842860-4349-4118-b44c-40e4ef80ddf2	https://cghub.ucsc.edu/cghub/metadata/analysisAttributes/83842860-4349-4118-b44c-40e4ef80ddf2	yes	->	->	->	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-EJ-7794_72ce9985-5383-41a0-a73d-5284713c9bba_a72932e7-2901-4401-8f43-07c9a529e422.indel.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_PRAD_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
a72932e7-2901-4401-8f43-07c9a529e422	TCGA-EJ-7794-10A-01D-2115-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-EJ-7794-10A-01D-2115-08.bam	83842860-4349-4118-b44c-40e4ef80ddf2	https://cghub.ucsc.edu/cghub/metadata/analysisAttributes/83842860-4349-4118-b44c-40e4ef80ddf2	yes	->	->	->	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-EJ-7794_72ce9985-5383-41a0-a73d-5284713c9bba_a72932e7-2901-4401-8f43-07c9a529e422.oxoG.snp.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_PRAD_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
008659ce-78a0-4243-8cf4-bbfb8308e993	TCGA-KK-A8II-01A-11D-A364-08	yes	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-KK-A8II-01A-11D-A364-08.bam	->	->	yes	->	->	->	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-KK-A8II_008659ce-78a0-4243-8cf4-bbfb8308e993_ff736958-09d1-4cb7-9fa5-5955bde500ff.indel.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_PRAD_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
008659ce-78a0-4243-8cf4-bbfb8308e993	TCGA-KK-A8II-01A-11D-A364-08	yes	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-KK-A8II-01A-11D-A364-08.bam	->	->	yes	->	->	->	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-KK-A8II_008659ce-78a0-4243-8cf4-bbfb8308e993_ff736958-09d1-4cb7-9fa5-5955bde500ff.oxoG.snp.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_PRAD_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
470a25cd-eea8-4ca6-b91c-86e36397135a	TCGA-G9-6347-01A-11D-A31L-08	yes	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-G9-6347-01A-11D-A31L-08.bam	58537bf0-ede1-41d6-be31-0b25dbe8caa8	https://cghub.ucsc.edu/cghub/metadata/analysisAttributes/58537bf0-ede1-41d6-be31-0b25dbe8caa8	yes	->	->	->	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-G9-6347_470a25cd-eea8-4ca6-b91c-86e36397135a_b63236ea-caa8-44c1-ba56-d36c6c394c23.indel.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_PRAD_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
470a25cd-eea8-4ca6-b91c-86e36397135a	TCGA-G9-6347-01A-11D-A31L-08	yes	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-G9-6347-01A-11D-A31L-08.bam	58537bf0-ede1-41d6-be31-0b25dbe8caa8	https://cghub.ucsc.edu/cghub/metadata/analysisAttributes/58537bf0-ede1-41d6-be31-0b25dbe8caa8	yes	->	->	->	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-G9-6347_470a25cd-eea8-4ca6-b91c-86e36397135a_b63236ea-caa8-44c1-ba56-d36c6c394c23.oxoG.snp.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_PRAD_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
05ab92d0-9cba-4cd0-9f18-31dd0ef37394	TCGA-KK-A8I6-11A-12D-A362-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-KK-A8I6-11A-12D-A362-08.bam	->	->	yes	->	->	->	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-KK-A8I6_b09465a0-6766-4401-8ab3-1f7b0ba892cd_05ab92d0-9cba-4cd0-9f18-31dd0ef37394.indel.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_PRAD_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
05ab92d0-9cba-4cd0-9f18-31dd0ef37394	TCGA-KK-A8I6-11A-12D-A362-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-KK-A8I6-11A-12D-A362-08.bam	->	->	yes	->	->	->	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-KK-A8I6_b09465a0-6766-4401-8ab3-1f7b0ba892cd_05ab92d0-9cba-4cd0-9f18-31dd0ef37394.oxoG.snp.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_PRAD_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
b4bf3137-c8ca-4491-bbfc-3d864e521faf	TCGA-EJ-5516-10A-01D-1577-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-EJ-5516-10A-01D-1577-08.bam	fe4b8c71-2fd9-4134-bb0c-9e4c16665546	https://cghub.ucsc.edu/cghub/metadata/analysisAttributes/fe4b8c71-2fd9-4134-bb0c-9e4c16665546	yes	->	->	->	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-EJ-5516_75dbdfe2-f446-463e-847c-885759682c43_b4bf3137-c8ca-4491-bbfc-3d864e521faf.indel.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_PRAD_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
b4bf3137-c8ca-4491-bbfc-3d864e521faf	TCGA-EJ-5516-10A-01D-1577-08	no	DNA	http://www.gencodegenes.org/	hg19	broad.mit.edu:library_preparation:IlluminaGA:01	Agilent	->	->	->	->	http://www.broadinstitute.org/tcga/seq/whole_exome_agilent_1.1_refseq_plus_3_boosters.Homo_sapiens_assembly19.targets.bed	BED	->	->	->	->	->	broad.mit.edu:DNA_sequencing:IlluminaGA:01	broad.mit.edu:alignment:IlluminaGA:01	TCGA-EJ-5516-10A-01D-1577-08.bam	fe4b8c71-2fd9-4134-bb0c-9e4c16665546	https://cghub.ucsc.edu/cghub/metadata/analysisAttributes/fe4b8c71-2fd9-4134-bb0c-9e4c16665546	yes	->	->	->	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	0	0	14	7	broad.mit.edu:variant_calling:IlluminaGA:01	TCGA-EJ-5516_75dbdfe2-f446-463e-847c-885759682c43_b4bf3137-c8ca-4491-bbfc-3d864e521faf.oxoG.snp.capture.tcga.vcf	1.2	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	PR_TCGA_PRAD_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.maf	2.4	yes	Mutations	Level 2	broad.mit.edu_PRAD.IlluminaGA_DNASeq_automated.Level_2.1.5.0	->	->	->	->	->	->	->
