C	1	6597	SMARCA4	na	9.89	 SC-MS:0.19 HS-LC:0.18 SC-CC:0.16 HS-CX:0.13 DM-PI:0.09 SC-GT:0.08 SC-LC:0.08 HS-DC:0.05 CE-GT:0.02 CE-CC:0.02	87/1662	 LRPPRC AKAP9 POLR3C SRCAP CHD2 CHD4 SUPT16H ZNF543 ZNF569 ZNF600 DDX3X DLG2 DNAH5 ATN1 EEF1A1 AHR ARID2 EIF4G1 FANCA COBLL1 MCF2L2 DICER1 DDX58 SIN3A SMC1B ZNF544 UTP20 GLI3 GLUD2 ZNF493 HRAS HSP90AA1 ZNF546 ZNF429 JAK3 KRAS MYO9A NACA RERE OGDH PABPC3 MPP6 RTEL1 PHF1 PKLR BRWD1 POLE POLR2A PPARG PRDM9 ARID1B ZNF471 EP400 FANCM ZNF529 RAD21 RB1 UPF1 ACTB EXOC4 ROS1 IFIH1 SMARCA2 SMARCC1 SMARCC2 SP100 BRCA1 SUPT5H SUPT6H TP53 TYK2 ZNF12 ZNF91 ZNF180 CAD ZNF329 ZNF665 ZNF93 SMC1A ARID1A TRRAP HIST1H3B SLITRK6 EIF4G3 ZNF160 BTAF1 ZNF254	 transcription; regulation of transcription from RNA polymerase II promoter;	 nucleus; nucleoplasm;	 nucleotide binding; DNA binding; transcription factor activity; transcription coactivator activity; helicase activity; protein binding; ATP binding; hydrolase activity;
C	2	5042	PABPC3	PABP3 PABPL3	9.55	 SC-MS:0.44 CE-CX:0.22 SC-CC:0.14 SC-LC:0.10 SC-CX:0.06 SC-GT:0.03 CE-CC:0.01	68/1662	 HIPK3 FRY CEBPZ ARFGEF2 YME1L1 PAPOLA ASCC3 SUPT16H ATXN2L TAF1L AP1B1 AP2B1 DDX3X EEF1A1 EIF4A2 EIF4G1 FLNA FLNB FLNC SF3B3 SF3B1 PRPF6 UTP20 GLUD2 HDLBP ACACA HSPA5 HSP90AA1 LPP MYH6 MYH7 NACA ATP1A1 ATP1A2 NUP98 ITSN2 PCBP1 CRNKL1 PCF11 EXOSC10 POLE POLR2A XRN1 NAT10 WDR33 PRKCD NUP107 ACTB SMAP1 SDHA NOC3L ITSN1 WNK1 WNK3 SMARCA2 SMARCA4 SMARCC1 SMARCC2 SP100 SUPT5H TOP2A CAD SPOP USP32 EIF4G3 BTAF1 EIF5B NUP153	 mRNA metabolic process;	 cytoplasm;	 nucleotide binding; RNA binding; poly(A) binding;
C	3	1981	EIF4G1	DKFZp686A1451 EIF4F EIF4G p220	9.40	 SC-MS:0.49 HS-LC:0.09 SC-CX:0.09 SC-CC:0.07 SC-GT:0.05 HS-MS:0.05 HS-DC:0.05 SC-LC:0.05 HS-CX:0.04 DM-PI:0.02	29/1662	 WDR36 DDX3X EEF1A1 EIF4A2 SF3B3 SF3B1 PRPF6 UPF2 UTP20 HDLBP KPNB1 MSH4 NF1 PABPC3 POLE XRN1 NAT10 KIF15 NOM1 SMARCA2 SMARCA4 SUPT5H TOP2A HPS3 EIF4G3 ZFYVE9 EIF5B UBAP2L NUP153	 regulation of translational initiation;	 cytoplasm; eukaryotic translation initiation factor 4F complex;	 RNA binding; translation initiation factor activity; protein binding;
C	4	8243	SMC1A	DKFZp686L19178 DXS423E KIAA0178 MGC138332 SB1.8 SMC1 SMC1L1 SMC1alpha SMCB	9.37	 HS-LC:0.36 HS-GN:0.25 SC-LC:0.13 SC-CC:0.12 CE-CC:0.06 SC-GT:0.04 SC-MS:0.02 DM-PI:0.01 CE-CX:0.01 HS-CX:0.00	71/1662	 SMC4 RBM5 STAG1 ADAR NDC80 ADARB2 SMC2 STAG2 PAPOLA CIT IRAK3 CLK2 CSF1R NEK10 DHX9 MARK2 EPHA3 FGFR3 SMC5 FLT3 DICER1 SF3B3 SF3B1 PRPF6 NIPBL STK36 CPSF1 INSR INSRR MAP3K4 MAP3K5 MET MAP3K9 MSH4 ATM NF2 NTRK2 NUMA1 PAK3 PCBP1 CRNKL1 PCF11 POLA1 POLE POLR2A GNL3L PRKCI RAD21 RBL1 RFC4 ROS1 RPGR BLM SMARCA2 SMARCA4 SNRPB BRCA1 TEC TGFBR2 TOP2A TRIO TYK2 MAP3K12 SMC6 NEK11 MASTL LATS1 MAP3K13 TAOK2 MDC1 ULK2	 cell cycle checkpoint; DNA metabolic process; DNA repair; cell cycle; mitotic spindle organization and biogenesis; chromosome segregation; mitotic sister chromatid cohesion; meiosis; response to radiation; DNA damage response, signal transduction; chromosome organization and biogenesis; cell division;	 kinetochore; condensed nuclear chromosome; nucleus; chromosome; cohesin core heterodimer;	 nucleotide binding; chromatin binding; microtubule motor activity; protein binding; ATP binding; ATPase activity; protein heterodimerization activity;
C	5	6829	SUPT5H	FLJ34157 SPT5 SPT5H	9.36	 SC-LC:0.33 SC-GT:0.15 SC-CC:0.14 CE-CX:0.11 SC-MS:0.10 HS-LC:0.07 SC-CX:0.05 HS-CC:0.03 HS-CX:0.01	39/1662	 SMC4 SMC2 PAPOLA CHD2 SUPT16H CLTC LEO1 DDX3X DHX9 DDX11 EIF4G1 ERCC2 CNOT1 MDN1 SF3B1 POLR1A BRD7 PIK3R4 NUP98 OPA1 PABPC3 PCF11 POLA1 POLE POLR2A NAT10 CCAR1 SMEK2 NOC3L SMARCA2 SMARCA4 SP100 SUPT6H ACTN4 HIST1H3B USP48 EIF4G3 ZFYVE9 EIF5B	 negative regulation of transcription from RNA polymerase II promoter; chromatin remodeling; transcription; regulation of transcription, DNA-dependent; RNA elongation from RNA polymerase II promoter; cell cycle; response to organic substance; retroviral genome replication; positive regulation of transcription from RNA polymerase II promoter;	 nucleus;	 negative transcription elongation factor activity; positive transcription elongation factor activity; enzyme binding; protein heterodimerization activity;
C	6	1974	EIF4A2	na	9.21	 SC-MS:0.30 CE-CX:0.18 HS-MS:0.15 HS-LC:0.07 SC-GT:0.07 DM-PI:0.06 SC-CC:0.05 SC-CX:0.04 SC-LC:0.04 HS-GN:0.03 HS-CX:0.02	39/1662	 RAD50 HIPK3 YME1L1 DDX3X DHX9 DPYD EEF1A1 EIF4G1 MCF2L2 GLUD2 HDLBP HSPA5 HSP90AA1 LAMA5 LPP MYO1B NACA NOTCH1 NOTCH2 OGDH PABPC3 PAK3 PKLR POLE ATRX NAT10 OGDHL MCCC1 ACTB SMAP1 XDH CAD TARS2 EIF4G3 PNPT1 SPAG9 SEC24C EIF5B TM9SF4	 translation; regulation of translational initiation;	 eukaryotic translation initiation factor 4F complex;	 nucleotide binding; nucleic acid binding; RNA binding; translation initiation factor activity; protein binding; ATP binding; ATP-dependent helicase activity; hydrolase activity;
C	7	5430	POLR2A	MGC75453 POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	9.21	 HS-LC:0.34 CE-CX:0.20 SC-CC:0.10 SC-MS:0.09 SC-LC:0.08 SC-GT:0.05 HS-GN:0.05 CE-CC:0.04 HS-CX:0.02 DM-PI:0.02 HS-DC:0.02 CE-GT:0.01	79/1662	 HIPK3 RBM5 CTCF YME1L1 PAPOLA ASCC3 SUPT16H ATXN2L COL4A1 COL4A3 TAF1L CREBBP HECTD2 DDX3X DHX9 EEF1A1 ERCC2 DIP2C MDN1 SF3B3 SF3B1 TNPO3 CD2AP EDC4 PRPF6 POLR1A UPF2 ERC2 GLI2 GLI3 SETD2 CPSF1 HDLBP PIK3R4 ACACA HLCS ACACB HRAS HSPA5 KRAS ATP1A1 ATP1A2 PABPC3 PCBP1 SPTBN5 PCF11 PKLR NAT10 METTL3 ARHGAP21 UPF1 ACTB SMAP1 WNK1 WNK3 SMARCA2 SMARCA4 SMARCC1 SMARCC2 SNRPB SPTAN1 BRCA1 SUPT5H SUPT6H TARBP1 TPR ZMYM2 CAD ZNF768 MRM1 CHD9 SMC1A ITCH CUL1 UNC5C UBE3B PPIG SEC24C CUL7	 transcription; transcription, DNA-dependent; regulation of transcription, DNA-dependent; transcription from RNA polymerase II promoter;	 nucleus; DNA-directed RNA polymerase II, core complex; nucleolus;	 DNA binding; DNA-directed RNA polymerase activity; protein binding; zinc ion binding; transferase activity; metal ion binding;
C	8	6595	SMARCA2	BAF190 BRM FLJ36757 MGC74511 SNF2 SNF2L2 SNF2LA SWI2 Sth1p hBRM hSNF2a	9.15	 SC-MS:0.27 SC-CC:0.23 DM-PI:0.13 SC-GT:0.11 SC-LC:0.11 HS-LC:0.06 CE-CX:0.03 CE-CC:0.03 CE-GT:0.02 HS-CX:0.01	67/1662	 SMC4 POLR3C SRCAP CHD2 SUPT16H CLTC ZNF543 ZNF569 CTNNA2 DDX3X ATN1 EEF1A1 EIF4G1 PRPF6 SIN3A SMC1B ZNF544 UTP20 GLI3 GLUD2 ZNF493 HRAS HSP90AA1 ZNF546 ZNF429 JAK3 KRAS RERE OAS2 PABPC3 PHF1 PKLR POLE POLR2A CCAR1 PRDM9 ARID1B ZNF471 EP400 ZNF529 RAD21 UPF1 ACTB ROS1 ANAPC1 SMARCA4 SMARCC1 SMARCC2 SP100 SUPT5H SUPT6H TYK2 ZNF12 ZNF91 ZNF180 CAD ZNF329 ZNF665 ZNF93 SMC1A ARID1A TRRAP HIST1H3B EIF4G3 ZNF160 BTAF1 ZNF254	 transcription; regulation of transcription from RNA polymerase II promoter; negative regulation of cell proliferation;	 nucleus; nucleoplasm;	 nucleotide binding; DNA binding; transcription coactivator activity; helicase activity; protein binding; ATP binding; hydrolase activity;
C	9	1915	EEF1A1	na	8.92	 SC-MS:0.53 HS-CX:0.14 SC-CX:0.06 HS-LC:0.05 SC-GT:0.05 CE-LC:0.04 HS-GN:0.03 SC-CC:0.03 SC-LC:0.02 CE-YH:0.02 HS-DC:0.02 SC-TS:0.02	62/1662	 LRPPRC SEC24B IPO7 ARFGEF2 ARFGEF1 POLR3C CCT6B XPOT CLTC COPA CSE1L ZNF600 AP2B1 DDX3X EIF4A2 EIF4G1 COBLL1 MCF2L2 MDN1 VPS13A SF3B1 TNPO3 POLR1A UTP20 HDLBP ACACA ACACB HSPA5 HSP90AA1 RHOA RHOB MAP3K5 MYO1F MYO9A NACA PABPC3 PKLR PLCG1 POLE POLR2A XRN1 NAT10 PRKCD PSMC6 ACTB VPS33A SMARCA2 SMARCA4 SMARCC1 SMARCC2 TOP2A CAD TRRAP ITCH CASP5 AP3B1 EIF4G3 GBF1 BTAF1 MAP3K6 EIF5B CDC27	 translation; translational elongation;	 cytoplasm; eukaryotic translation elongation factor 1 complex;	 nucleotide binding; translation elongation factor activity; GTPase activity; protein binding; GTP binding;
C	10	10914	PAPOLA	MGC5378 PAP	8.90	 HS-LC:0.27 SC-MS:0.18 SC-CC:0.15 HS-CX:0.13 SC-LC:0.11 HS-DC:0.08 DM-PI:0.05 SC-GT:0.04	36/1662	 RBM5 STAG2 SUPT16H AP2B1 DHX9 DNTT JAG1 ALAS1 ZCCHC11 SF3B3 SF3B1 PRPF6 SIN3A CPSF1 NOTCH1 NOTCH2 OAS2 PABPC3 PCBP1 PCF11 EXOSC10 POLR2A PPP1R10 ZNF532 WDR33 RBBP6 ACTB SALL2 RSRC2 SNRPB SUPT5H ZMYM2 ZCCHC6 SMC1A TRRAP ZMYM4	 transcription; mRNA polyadenylation; mRNA processing;	 nucleus; cytoplasm;	 RNA binding; polynucleotide adenylyltransferase activity; transferase activity;
C	11	6601	SMARCC2	BAF170 CRACC2 Rsc8	8.89	 SC-MS:0.39 DM-PI:0.13 SC-CC:0.09 SC-LC:0.09 HS-LC:0.08 CE-GT:0.04 CE-CC:0.04 HS-CX:0.04 HS-CC:0.03 SC-YH:0.03 SC-CX:0.02 SC-GT:0.02 CE-YH:0.01	44/1662	 POLR3C STAG2 WDR6 SUPT16H LEO1 TAF1L DDX3X ATN1 EEF1A1 ARID2 GPATCH8 SCRIB SIN3A UBQLN2 HRAS HSPA5 HSP90AA1 KRAS MYH9 MYH10 MYH11 NACA RERE NF2 PABPC3 PHF1 POLR2A ARID1B RBL1 ACTB ROS1 SMARCA2 SMARCA4 SMARCC1 TOP2A WHSC1 CAD SMC6 ARID1A TRRAP HIST1H3B GBF1 BTAF1 SRGAP3	 chromatin assembly or disassembly; chromatin remodeling; transcription; regulation of transcription from RNA polymerase II promoter; negative regulation of transcription, DNA-dependent; positive regulation of transcription, DNA-dependent;	 chromatin; nucleus; nucleoplasm; SWI/SNF complex; transcriptional repressor complex;	 DNA binding; chromatin binding; transcription coactivator activity; protein binding;
