C	1	8969	HIST1H2AG	H2A.1b H2A/p H2AFP pH2A/f	9.58	 SC-MS:0.48 SC-LC:0.15 SC-CX:0.11 SC-CC:0.10 SC-TS:0.06 CE-LC:0.03 SC-YH:0.02 SC-GT:0.02 HS-DC:0.01 CE-CC:0.01	37/1688	 PRPF8 POLR3A CORO1A CSNK2A1 CSTF2 DDX10 EPS15 CORO1C RANBP6 PABPC1 HIST1H2BD H3F3B SLC29A2 HSPA1L HSPA8 NAP1L1 NAP1L2 NSUN2 POLR3B IPO9 RARS2 RBBP7 RFC1 SOS2 BRDT TAF6 TBCE ACTG1 HIRA IPO4 WDR76 HIST1H2AJ DDX18 PRC1 GTF3C3 ACTR8 DDX23	 nucleosome assembly; chromosome organization and biogenesis (sensu Eukaryota);	 nucleosome; nucleus; chromosome;	 DNA binding;
C	2	8886	DDX18	FLJ33908 MrDb	9.58	 SC-CX:0.50 SC-MS:0.35 HS-CX:0.06 CE-CX:0.05 HS-GN:0.02 HS-DC:0.01	56/1688	 MPHOSPH10 DDX17 KHDRBS1 WDR3 ADRM1 DDX52 FTSJ3 MSI2 CSNK2A1 DDX5 DDX10 DHX15 EIF5 DDX26B EPRS XRN2 RRP12 NUP160 NCAPD3 SKIV2L2 NOC2L PABPC1 HIST1H2BD ILF3 IMPDH2 KPNA1 KPNA2 ARNT NVL RBMXL1 NMD3 ESF1 SETD4 NSUN2 UCKL1 PPP2R5C POLR3B PRMT8 BCCIP RARS2 PSPH DHX37 ABCD3 RAD51C SLC5A7 RPS6KA3 DUS1L TFRC XPO1 DDX54 HIST1H2AJ PABPC4 HIST1H2AG LONP1 UTP14C EIF4A3	na	na	 nucleotide binding; nucleic acid binding; RNA binding; ATP-dependent RNA helicase activity; helicase activity; ATP binding; hydrolase activity;
C	3	3017	HIST1H2BD	H2B.1B H2B/b H2BFB HIRIP2 MGC90432 dJ221C16.6	9.51	 SC-MS:0.36 SC-CX:0.16 SC-CC:0.16 SC-LC:0.15 SC-TS:0.07 SC-GT:0.03 CE-CC:0.03 HS-CX:0.02 SC-YH:0.01 HS-LC:0.01	32/1688	 POLR3A CSNK2A1 DHX15 EIF5 EPS15 RANBP6 PABPC1 HIST1H1C H3F3B HSPA1L HSPA8 HTR1A KPNA1 NAP1L1 NAP1L2 POLR3B IPO9 RARS2 ACTA2 BCHE RBBP7 RFC1 TAF6 ACTG1 HIRA WDR76 HIST1H2AJ PABPC4 DDX18 HIST1H2AG GTF3C3 ACTR8	 nucleosome assembly; chromosome organization and biogenesis (sensu Eukaryota);	 nucleosome; nucleus; chromosome;	 DNA binding;
C	4	3312	HSPA8	HSC54 HSC70 HSC71 HSP71 HSP73 HSPA10 LAP1 MGC131511 MGC29929 NIP71	9.41	 SC-MS:0.36 CE-CX:0.16 SC-CC:0.09 HS-LC:0.08 SC-LC:0.07 SC-CX:0.05 HS-GN:0.05 HS-CX:0.04 CE-CC:0.02 HS-DC:0.02 SC-GT:0.02 CE-YH:0.01 CE-GT:0.01 DM-PI:0.01	86/1688	 HDAC6 TUBA1B DDX17 IPO8 CCT7 PRPF8 HSPH1 ADRM1 DDX52 POLR3A EXOC3 CLPTM1 CSTF2 DHX15 DSPP DCP1B EIF5 TUBB HIPK1 EPRS SNW1 SPO11 GAB1 HSPA12A DNM3 GPR110 PABPC1 SND1 GNAI3 PDIA3 SEC61A1 HIST1H2BD HSPA1L IGF1R IMPDH2 JAK2 KPNA1 TNPO1 MAT2A MLH1 NFKBIA ATP2A1 ATP2A2 ATP2B2 P4HB MINK1 GMIP PDE8A EXOSC9 POLR2B PPM1G PPP2R1B PRKAA1 IARS2 DNAJC11 MAP2K2 PRMT8 PSMC2 ACTA2 RALGDS RBBP7 REL SP1 TARS ACTG1 U2AF1 XPO1 YWHAZ TUBA1A IPO4 HIST1H2AJ TUBB6 LMNB2 DNAJC14 CCNB3 RIPK1 PABPC4 IQGAP1 HIST1H2AG ACVR1 SMC3 COPB2 ACTR8 MAP4K4 NUP93 AQR	 protein folding; response to unfolded protein;	 intracellular; nucleus; cell surface;	 nucleotide binding; protein binding; ATP binding; ATPase activity, coupled;
C	5	8331	HIST1H2AJ	H2A/E H2AFE dJ160A22.4	9.40	 SC-MS:0.48 SC-LC:0.15 SC-CX:0.11 SC-CC:0.10 SC-TS:0.07 CE-LC:0.03 SC-YH:0.02 SC-GT:0.02 HS-DC:0.02 CE-CC:0.01	35/1688	 PRPF8 POLR3A CORO1A CSNK2A1 CSTF2 DDX10 EPS15 CORO1C RANBP6 PABPC1 HIST1H2BD H3F3B SLC29A2 HSPA8 NAP1L1 NAP1L2 NSUN2 POLR3B IPO9 RARS2 RBBP7 RFC1 SOS2 BRDT TAF6 TBCE ACTG1 HIRA WDR76 DDX18 HIST1H2AG PRC1 GTF3C3 ACTR8 DDX23	na	na	na
C	6	1662	DDX10	na	9.39	 SC-CX:0.61 SC-MS:0.36 SC-LC:0.02 HS-DC:0.01	36/1688	 MPHOSPH10 WDR3 DDX52 CORO1A FTSJ3 CSNK2A1 DDX5 DHX15 DDX26B EPRS RRP12 SKIV2L2 CORO1C NOC2L PABPC1 IMPDH2 NFX1 NVL NMD3 ESF1 UCKL1 POLR3B RIOK2 PRMT8 BCCIP DHX37 DUS1L DDX54 FIP1L1 HIST1H2AJ PABPC4 SYNJ2 DDX18 HIST1H2AG UTP14C EIF4A3	na	na	 nucleotide binding; RNA binding; RNA helicase activity; ATP binding; ATP-dependent helicase activity; hydrolase activity;
C	7	10199	MPHOSPH10	MPP10 MPP10P	9.32	 SC-CX:0.71 SC-MS:0.21 SC-LC:0.06 HS-LC:0.02	31/1688	 WDR3 DDX52 WBSCR22 FTSJ3 DDX5 DDX10 DHX15 EPRS RRP12 SKIV2L2 NOC2L PABPC1 NFX1 NVL NMD3 ESF1 SETD4 NSUN2 UCKL1 PPP1CA POLR3B PRMT8 BCCIP DHX37 TAF9 DDX54 PABPC4 DDX18 EIF2B4 UTP14C EIF4A3	 rRNA processing; RNA splicing;	 nucleus; nucleolus; small nucleolar ribonucleoprotein complex;	 protein binding; RNA splicing factor activity, transesterification mechanism;
C	8	1665	DHX15	DBP1 DDX15 HRH2 PRP43 PRPF43 PrPp43p	9.18	 SC-CX:0.48 SC-MS:0.39 HS-CX:0.06 CE-CX:0.05 SC-CC:0.02	44/1688	 MPHOSPH10 PRPF8 WDR3 CHD1 DDX52 WBSCR22 FTSJ3 CSNK1A1 DDX10 ARHGAP27 EPRS SNW1 CLASP2 SKIV2L2 INTS7 GAPVD1 NOC2L PABPC1 HIST1H2BD HSPA8 IMPDH2 MAT2A NFX1 ARHGEF3 NMD3 CPA4 ESF1 NSUN2 POLR3B PRMT8 BCCIP SMARCAD1 POGK DHX37 DUS1L ARHGAP9 DDX54 FIP1L1 PABPC4 DDX18 EIF2B4 PRPF3 UTP14C HDAC9	 mRNA processing; RNA splicing;	 nucleus; U12-dependent spliceosome;	 nucleotide binding; nucleic acid binding; RNA helicase activity; ATP binding; ATP-dependent helicase activity; hydrolase activity; nucleoside-triphosphatase activity;
C	9	26155	NOC2L	DKFZP564C186 FLJ35172 NIR	9.12	 SC-CX:0.67 SC-MS:0.32 HS-MS:0.01 CE-CX:0.00	32/1688	 MPHOSPH10 WDR3 DDX52 FTSJ3 DDX10 DHX15 TUBB EPRS RRP12 SKIV2L2 PHLDA3 PABPC1 IMPDH2 MAT2A NFX1 NVL NMD3 ESF1 NSUN2 UCKL1 POLR3B PRMT8 BCCIP DHX37 DUS1L DDX54 PABPC4 DDX18 EIF2B4 UTP14C EIF4A3 RNF10	na	 nucleus;	na
C	10	203068	TUBB	na	8.96	 SC-MS:0.41 HS-CX:0.24 SC-CC:0.11 HS-LC:0.11 SC-GT:0.05 SC-LC:0.05 SC-CX:0.02 HS-DC:0.01	68/1688	 HDAC6 TUBA1B IPO8 CCT7 MTHFD2 HSPH1 ERP29 CHEK1 AKAP10 CSNK2A1 DDB1 ELK4 EPRS SKIV2L2 FYN NOC2L GDPD1 HMGA1 HSPA1L HSPA8 IMPDH2 KPNA2 TNPO1 MAT2A MCM4 MLH1 MX1 NAP1L1 NPHP1 NVL P4HB PCDHGC3 NUSAP1 POLR2B PPM1G PPP1CA PPP2R5C PPP2R5D PSMC2 XPO5 RAD51C ACTA2 CLSPN BMPR2 STAU1 TAF1 TARS TBCE ACTG1 XPO1 YWHAZ TUBA1A IPO4 ANP32A FAM49A RAD54L LMNB2 ATG4D RIPK1 EIF2B4 EIF2B5 EXO1 MAGI1 COPB2 GTF3C3 RECQL4 KIF23 CDC6	 cell motility; microtubule-based movement; natural killer cell mediated cytotoxicity; mitotic spindle assembly; protein polymerization;	 cytoplasm; cytoskeleton; microtubule; protein complex;	 nucleotide binding; GTPase activity; structural molecule activity; structural constituent of cytoskeleton; GTP binding; MHC class I protein binding;
C	11	57647	DHX37	DDX37 FLJ41974 KIAA1517 MGC2695 MGC4322 MGC46245	8.92	 SC-CX:0.63 SC-MS:0.32 SC-LC:0.03 SC-CC:0.02	30/1688	 MPHOSPH10 WDR3 DDX52 WBSCR22 FTSJ3 DDX5 DDX10 DHX15 EPRS RRP12 SKIV2L2 NOC2L PABPC1 HMGCS1 MAT2A NFX1 NVL NMD3 ESF1 EXOSC9 NSUN2 POLR3B RIOK2 PRMT8 BCCIP TAF9 DDX54 DDX18 UTP14C EIF4A3	na	na	 nucleotide binding; nucleic acid binding; helicase activity; ATP binding; hydrolase activity;
